所属省,所属市,所属区(县),营业场所,地址,开办业务,邮政编码
广东省,汕头市,潮南区,中国邮政集团公司汕头市司马浦支局,汕头市潮南区司马浦镇司下广汕公路司下路段86、88、90、92号1层,信件、印刷品、包裹、邮政汇兑、报刊订阅,515149
广东省,汕头市,潮南区,中国邮政集团公司汕头市陈店支局,陈店镇仙城路口,信件、印刷品、包裹、邮政汇兑、报刊订阅,515152
广东省,汕头市,潮阳区,汕头市和平邮政支局,汕头市潮阳区和平镇老和惠路253号,信件、印刷品、包裹、邮政汇兑、报刊订阅,515154
广东省,汕头市,潮阳区,汕头市金浦邮政支局,汕头市潮阳区金浦镇工交路旁,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515155
广东省,汕头市,潮阳区,汕头市贵屿邮政支局,汕头市潮阳区贵屿镇华美大街,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515157
广东省,汕头市,潮阳区,汕头市谷饶邮政支局,汕头市潮阳区谷饶镇环市路税所西侧,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515159
广东省,汕头市,潮阳区,汕头市金灶邮政支局,汕头市潮阳区金灶镇政府对面,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515161
广东省,汕头市,潮阳区,汕头市关埠邮政支局,潮阳区关埠镇关金路农行右侧,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515162
广东省,汕头市,潮阳区,汕头市西胪邮政支局,汕头市潮阳区西胪镇西一乡水电所对面,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515163
广东省,汕头市,潮阳区,汕头市河溪邮政支局,汕头市潮阳区河溪镇法庭左侧,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515164
广东省,汕头市,澄海区,汕头市店市邮政支局,汕头市澄海区隆都镇后溪乡,信件、印刷品、包裹、邮政汇兑、报刊订阅,515825
广东省,汕头市,澄海区,汕头市东里邮政支局,汕头市澄海区东里镇文化路,信件、印刷品、包裹、邮政汇兑、报刊订阅,515829
广东省,汕头市,澄海区,汕头市莲阳邮政支局,广东汕头市澄海莲下镇莲凤路,信件、印刷品、包裹、邮政汇兑、报刊订阅,515834
广东省,韶关市,武江区,中国邮政集团有限公司广东省韶关市龙归邮政支局,广东韶关市武江区龙归镇益龙路,信件、印刷品、包裹、邮政汇兑、报刊订阅,512050
广东省,韶关市,武江区,中国邮政集团有限公司广东省韶关市江湾邮政所,广东韶关市武江区江湾镇江湾街7号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512052
广东省,韶关市,武江区,中国邮政集团有限公司广东省韶关市重阳邮政所,韶关市武江区重阳镇政府南路,信件、印刷品、包裹、邮政汇兑、报刊订阅,512041
广东省,韶关市,浈江区,中国邮政集团有限公司广东省韶关市犁市邮政支局,广东韶关市浈江区犁市镇建设路82号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512040
广东省,韶关市,浈江区,中国邮政集团有限公司广东省韶关市花坪邮政所,广东韶关市浈江区花坪镇政府计生办旁之二,信件、印刷品、包裹、邮政汇兑、报刊订阅,512049
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市沙溪邮政所,广东韶关市曲江区沙溪镇宝林路电信大楼,信件、印刷品、包裹、邮政汇兑、报刊订阅,512127
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市乌石邮政支局,广东韶关市曲江区乌石镇府前路10号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512131
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市樟市邮政支局,广东韶关市曲江区樟市镇樟市街66号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512134
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市罗坑邮政所,广东省韶关市曲江区罗坑镇政府旁,信件、印刷品、包裹、邮政汇兑、报刊订阅,512135
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市白土邮政所,广东韶关市曲江区白土镇白土街下乡老厅A、B、C商铺,信件、印刷品、包裹、邮政汇兑、报刊订阅,512136
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市大塘邮政所,广东韶关市曲江区大塘镇塘枫路47号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512158
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市枫湾邮政支局,广东韶关市曲江区枫湾镇枫中街86号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512161
广东省,韶关市,曲江区,中国邮政集团有限公司广东省韶关市小坑邮政所,广东韶关市曲江区小坑镇龙湖路5号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512162
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市长来邮政支局,广东乐昌市长来镇长来街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512212
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市廊田邮政支局,广东乐昌市廊田镇府前路,信件、印刷品、包裹、邮政汇兑、报刊订阅,512221
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市云岩邮政所,云岩镇茅坪,信件、印刷品、包裹、邮政汇兑、报刊订阅,512222
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市沙坪邮政所,沙坪镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512223
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市秀水邮政所,秀水镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512225
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市梅花邮政支局,广东乐昌市梅花镇坪乳线石墩下组路口3号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512226
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市关春邮政所,乐昌市梅花镇关春矿区所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512227
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市坪石邮政支局,广东乐昌市坪石镇岭南路57号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512229
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市两江邮政所,两江镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512238
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市九峰邮政支局,广东乐昌市九峰镇九峰桥1路59号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512239
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市大源邮政所,大源镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512241
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市五山邮政所,五山镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512242
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市北乡邮政所,北乡镇北乡圩派出所对面,信件、印刷品、包裹、邮政汇兑、报刊订阅,512243
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县游溪邮政支局,乳源县游溪镇邮政支局,信件、印刷品、包裹、邮政汇兑、报刊订阅,512735
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县桂头邮政支局,广东省乳源县桂头镇桂头邮政支局,信件、印刷品、包裹、邮政汇兑、报刊订阅,512736
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县一六邮政所,广东省乳源县一六镇一六邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512737
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县沈所邮政支局,广东始兴县沈所镇沈所街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512521
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县马市邮政所,广东始兴县马市镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512523
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县澄江邮政支局,广东始兴县澄江镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512524
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县罗坝邮政支局,广东始兴县罗坝镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512526
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县顿岗邮政支局,广东始兴县顿岗镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512529
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县石人嶂邮政支局,广东始兴县石人嶂,信件、印刷品、包裹、邮政汇兑、报刊订阅,512531
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县司前邮政支局,广东始兴县司前镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512532
广东省,韶关市,始兴县,中国邮政集团有限公司广东省始兴县隘子邮政支局,广东始兴县隘子镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512533
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县官渡邮政支局,广东翁源县官渡镇官渡街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512625
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县六里邮政支局,东翁源县号官渡镇六里邮政路4号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512626
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县翁城邮政支局,广东翁源县翁城镇和平南21号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512627
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县新江邮政支局,广东翁源县新江镇新江街建设北路82号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512628
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县铁龙邮政所,广东翁源县铁龙林场铁龙大道29号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512629
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县红岭邮政支局,广东翁源县江尾镇红岭街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512631
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县坝仔邮政支局,广东翁源县坝仔镇坝仔街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512633
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县岩庄邮政支局,广东翁源县坝仔镇岩庄街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512634
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县周陂邮政支局,广东翁源县周陂镇周陂街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512622
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县南浦邮政支局,广东翁源县龙仙镇南浦街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512637
广东省,韶关市,翁源县,中国邮政集团有限公司广东省翁源县江尾邮政支局,广东翁源县江尾镇江尾街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512638
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县黄礤邮政支局,广东新丰县黄礤镇黄礤街,信件、印刷品、包裹、邮政汇兑、报刊订阅,511120
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县马头邮政支局,广东新丰县马头镇镇南路7-9号,信件、印刷品、包裹、邮政汇兑、报刊订阅,511130
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县石角邮政所,广东新丰县马头镇石角街,信件、印刷品、包裹、邮政汇兑、报刊订阅,511140
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县遥田邮政支局,广东新丰县遥田镇人民路,信件、印刷品、包裹、邮政汇兑、报刊订阅,511150
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县大席邮政所,广东新丰县马头镇大席街,信件、印刷品、包裹、邮政汇兑、报刊订阅,511160
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县沙田邮政支局,广东新丰县沙田镇沙兴南路26号,信件、印刷品、包裹、邮政汇兑、报刊订阅,511170
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县梅坑邮政支局,广东新丰县梅坑镇梅坑街,信件、印刷品、包裹、邮政汇兑、报刊订阅,511180
广东省,韶关市,新丰县,中国邮政集团有限公司广东省新丰县回龙邮政所,广东新丰县回龙镇回龙街,信件、印刷品、包裹、邮政汇兑、报刊订阅,511190
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市雄州邮政支局,广东南雄市建设路7号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,512400
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市新城邮政支局,广东省南雄市林荫西路12号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512401
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市江头邮政支局,广东南雄市江头镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512421
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市主田邮政所,广东南雄市主田镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512422
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市古市邮政所,广东南雄市古市镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512424
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市全安邮政所,广东南雄市全安镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512426
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市百顺邮政支局,广东南雄市百顺镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512427
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市澜河邮政支局,广东南雄市澜河镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512428
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市富竹邮政所,广东南雄市帽子峰镇富竹,信件、印刷品、包裹、邮政汇兑、报刊订阅,512429
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市梅岭邮政支局,广东南雄市珠玑镇梅岭,信件、印刷品、包裹、邮政汇兑、报刊订阅,512432
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市界址邮政所,广东南雄市界址镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512434
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市乌迳邮政支局,广东南雄市乌迳镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512435
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市大塘邮政所,广东南雄市大塘镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512436
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市邓坊邮政所,广东南雄市邓坊镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512437
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市珠玑邮政支局,广东南雄市珠玑镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512438
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市黄坑邮政支局,广东南雄市黄坑镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512439
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市新龙邮政所,广东南雄市新龙镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512441
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市坪田邮政所,广东南雄市坪田镇银杏大道038号,信件、印刷品、包裹、邮政汇兑、报刊订阅,512442
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市南亩邮政所,广东南雄市南亩镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512443
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市水口邮政支局,广东南雄市水口镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512444
广东省,韶关市,南雄市,中国邮政集团有限公司广东省南雄市湖口邮政支局,广东南雄市湖口镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512445
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县黄坑邮政所,广东仁化县黄坑镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512333
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县周田邮政支局,广东仁化县周田镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512399
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县大桥邮政所,广东仁化县大桥镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512399
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县董塘邮政支局,广东仁化县董塘镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512322
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县石塘邮政所,广东仁化县石塘镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512324
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县凡口邮政所,广东仁化县凡口矿内,信件、印刷品、包裹、邮政汇兑、报刊订阅,512325
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县红山邮政支局,广东仁化县红山镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512326
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县城口邮政支局,广东仁化县城口镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512327
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县长江邮政支局,广东仁化县长江镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512328
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县扶溪邮政支局,广东仁化县扶溪镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512331
广东省,韶关市,仁化县,中国邮政集团有限公司广东省仁化县闻韶邮政所,广东仁化县闻韶镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,512332
广东省,河源市,东源县,中国邮政集团公司广东省东源县新港代办所,广东省河源市东源县新港镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517527
广东省,河源市,东源县,中国邮政集团公司广东省东源县回龙代办所,广东省河源市东源县新回龙镇镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517529
广东省,河源市,东源县,中国邮政集团公司广东省东源县半江代办所,广东省河源市东源县半江镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517534
广东省,河源市,东源县,中国邮政集团公司广东省东源县涧头支局,广东省河源市东源县涧头镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517536
广东省,河源市,东源县,中国邮政集团公司广东省东源县双江代办所,广东省河源市东源县双江镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517538
广东省,河源市,东源县,中国邮政集团公司广东省东源县顺天代办所,广东省河源市东源县顺天镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517541
广东省,河源市,东源县,中国邮政集团公司广东省东源县船塘支局,广东省河源市东源县船塘镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517547
广东省,河源市,东源县,中国邮政集团公司广东省东源县上莞支局,广东省河源市东源县上莞镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517549
广东省,河源市,东源县,中国邮政集团公司广东省东源县漳溪代办所,广东省河源市东源县漳溪畲族乡大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517551
